P03886	MT-ND1
P55283	CDH4

	CDH4

	HMGN1

P05114	HMGN1

Q9NYZ3	GTSE1

Q92618	ZNF516

	ZNF516

Q7L1S5	CHST9

Q9P2R7	SUCLA2

	SUCLA2

	NDRG3

Q9UGV2	NDRG3

Q8WVJ9	TWIST2

	TWIST2

	OR4K2

	OR4K5

	OR4K1

	OR4K15

	OR4K14

	OR4K13

	OR4L1

	OR4K17

	OR4N5

	OR11G2

	OR11H6

P63220	RPS21

	OR11H4

	RPS21

	GET1

	TTC5

P32249	GPR183

O00258	GET1

Q9NRA8	EIF4ENIF1

	CCNB1IP1

Q7L211	ABHD13

Q92754	TFAP2C

	TFAP2C

	PARP2

	SS18L1

	EIF4ENIF1

O75177	SS18L1

	GET1-SH3BGR

	TEP1

P10768	ESD

	ESD

P28223	HTR2A

	HTR2A

P48539	PCP4

	KLHL33

	OSGEP

	TMEM241

	APEX1

Q9H7E2	TDRD3

	TDRD3

O00567	NOP56

	NOP56

	PIP4P1

	PNP

	RNASE10

O60469	DSCAM

Q24JQ0	TMEM241

	OR4K3

Q8NGC8	OR11H7

	OR4Q2

Q8N0X7	SPART

	PRR5-ARHGAP8

Q9Y5Z0	BACE2

	ELP2

Q9Y512	SAMM50

P57078	RIPK4

Q9Y6E0	STK24

	STK24

Q13469	NFATC2

	TTC38

	PFDN5

	TRMT9B

Q9NUQ2	AGPAT5

	MYG1

	AGPAT5

Q5R3I4	TTC38

	AAAS

P60022	DEFB1

Q01524	DEFA6

P12838	DEFA4

P59665	DEFA1

	DEFA3

Q01523	DEFA5

	SP7

O95199	RCBTB2

	SLC25A17

	RCBTB2

Q96PX8	SLITRK1

Q9BX26	SYCP2

P20292	ALOX5AP

Q9UJ68	MSRA

	SYCP2

O43808	SLC25A17

	ALOX5AP

	MSRA

P45844	ABCG1

	ABCG1

Q13099	IFT88

	IFT88

Q03403	TFF2

P04155	TFF1

Q9H714	RUBCNL

	RUBCNL

	IFNL3

Q6IA86	ELP2

	IFNL2

	IFNL1

	LRFN1

	GMFG

	IFNL4

K9M1U5	IFNL4

O15230	LAMA5

Q8IZN7	DEFB107A

	LAMA5

P81534	DEFB103A

O15263	DEFB4A

	USP17L7

Q9H2D6	TRIOBP

	LSM14B

	TRIOBP

	LONRF1

